C:\Anaconda3\envs\data_scraper.py\python.exe C:/Users/kristof.drexler/Desktop/corona_tracker_HU-master/data_scraper.py
2020.03.17. ,  11:35 :  No new data found.
2020.03.17. ,  11:36 :  No new data found.
2020.03.17. ,  11:37 :  No new data found.
2020.03.17. ,  11:38 :  No new data found.
2020.03.17. ,  11:39 :  No new data found.
2020.03.17. ,  11:40 :  No new data found.
2020.03.17. ,  11:41 :  No new data found.
2020.03.17. ,  11:42 :  No new data found.
2020.03.17. ,  11:43 :  No new data found.
2020.03.17. ,  11:44 :  No new data found.
2020.03.17. ,  11:45 :  No new data found.
2020.03.17. ,  11:46 :  No new data found.
2020.03.17. ,  11:47 :  HTTP Error 500: Service unavailable (with message)
2020.03.17. ,  11:48 :  No new data found.
2020.03.17. ,  11:49 :  No new data found.
2020.03.17. ,  11:50 :  No new data found.
2020.03.17. ,  11:51 :  No new data found.
2020.03.17. ,  11:52 :  No new data found.
2020.03.17. ,  11:53 :  No new data found.
2020.03.17. ,  11:54 :  No new data found.
2020.03.17. ,  11:55 :  No new data found.
2020.03.17. ,  11:56 :  No new data found.
2020.03.17. ,  11:57 :  No new data found.
2020.03.17. ,  11:58 :  No new data found.
2020.03.17. ,  11:59 :  No new data found.
2020.03.17. ,  12:00 :  No new data found.
2020.03.17. ,  12:01 :  No new data found.
2020.03.17. ,  12:02 :  Remote end closed connection without response
2020.03.17. ,  12:03 :  No new data found.
2020.03.17. ,  12:04 :  No new data found.
2020.03.17. ,  12:05 :  No new data found.
2020.03.17. ,  12:06 :  No new data found.
2020.03.17. ,  12:07 :  No new data found.
2020.03.17. ,  12:08 :  No new data found.
2020.03.17. ,  12:09 :  No new data found.
2020.03.17. ,  12:10 :  No new data found.
2020.03.17. ,  12:11 :  No new data found.
2020.03.17. ,  12:12 :  No new data found.
2020.03.17. ,  12:13 :  No new data found.
2020.03.17. ,  12:14 :  No new data found.
2020.03.17. ,  12:15 :  No new data found.
2020.03.17. ,  12:16 :  No new data found.
2020.03.17. ,  12:17 :  No new data found.
2020.03.17. ,  12:18 :  No new data found.
2020.03.17. ,  12:19 :  No new data found.
2020.03.17. ,  12:20 :  No new data found.
2020.03.17. ,  12:21 :  No new data found.
2020.03.17. ,  12:22 :  No new data found.
2020.03.17. ,  12:23 :  No new data found.
2020.03.17. ,  12:24 :  No new data found.
2020.03.17. ,  12:25 :  No new data found.
2020.03.17. ,  12:26 :  No new data found.
2020.03.17. ,  12:27 :  No new data found.
2020.03.17. ,  12:28 :  No new data found.
2020.03.17. ,  12:29 :  No new data found.
2020.03.17. ,  12:30 :  No new data found.
2020.03.17. ,  12:31 :  No new data found.
2020.03.17. ,  12:32 :  No new data found.
2020.03.17. ,  12:33 :  No new data found.
2020.03.17. ,  12:34 :  No new data found.
2020.03.17. ,  12:35 :  No new data found.
2020.03.17. ,  12:38 :  No new data found.
2020.03.17. ,  12:39 :  No new data found.
2020.03.17. ,  12:40 :  No new data found.
2020.03.17. ,  12:41 :  No new data found.
2020.03.17. ,  12:42 :  No new data found.
2020.03.17. ,  12:43 :  No new data found.
2020.03.17. ,  12:44 :  No new data found.
2020.03.17. ,  12:45 :  No new data found.
2020.03.17. ,  12:46 :  No new data found.
2020.03.17. ,  12:47 :  No new data found.
2020.03.17. ,  12:48 :  No new data found.
2020.03.17. ,  12:49 :  No new data found.
2020.03.17. ,  12:50 :  No new data found.
2020.03.17. ,  12:51 :  No new data found.
2020.03.17. ,  12:52 :  No new data found.
2020.03.17. ,  12:53 :  No new data found.
2020.03.17. ,  12:54 :  No new data found.
2020.03.17. ,  12:55 :  No new data found.
2020.03.17. ,  12:56 :  No new data found.
2020.03.17. ,  12:57 :  No new data found.
2020.03.17. ,  12:58 :  No new data found.
2020.03.17. ,  12:59 :  No new data found.
2020.03.17. ,  13:00 :  No new data found.
2020.03.17. ,  13:01 :  No new data found.
2020.03.17. ,  13:02 :  No new data found.
2020.03.17. ,  13:03 :  No new data found.
2020.03.17. ,  13:04 :  No new data found.
2020.03.17. ,  13:05 :  No new data found.
2020.03.17. ,  13:06 :  No new data found.
2020.03.17. ,  13:07 :  No new data found.
2020.03.17. ,  13:08 :  No new data found.
2020.03.17. ,  13:09 :  No new data found.
2020.03.17. ,  13:10 :  No new data found.
2020.03.17. ,  13:11 :  No new data found.
2020.03.17. ,  13:12 :  No new data found.
2020.03.17. ,  13:13 :  No new data found.
2020.03.17. ,  13:14 :  No new data found.
2020.03.17. ,  13:15 :  No new data found.
2020.03.17. ,  13:16 :  No new data found.
2020.03.17. ,  13:17 :  No new data found.
2020.03.17. ,  13:18 :  No new data found.
2020.03.17. ,  13:19 :  No new data found.
2020.03.17. ,  13:20 :  No new data found.
2020.03.17. ,  13:21 :  No new data found.
2020.03.17. ,  13:22 :  No new data found.
2020.03.17. ,  13:23 :  No new data found.
2020.03.17. ,  13:24 :  No new data found.
2020.03.17. ,  13:25 :  No new data found.
2020.03.17. ,  13:26 :  No new data found.
2020.03.17. ,  13:27 :  No new data found.
2020.03.17. ,  13:28 :  No new data found.
2020.03.17. ,  13:29 :  No new data found.
2020.03.17. ,  13:30 :  No new data found.
2020.03.17. ,  13:31 :  No new data found.
2020.03.17. ,  13:32 :  No new data found.
2020.03.17. ,  13:33 :  No new data found.
2020.03.17. ,  13:34 :  No new data found.
2020.03.17. ,  13:35 :  No new data found.
2020.03.17. ,  13:36 :  No new data found.
2020.03.17. ,  13:37 :  No new data found.
2020.03.17. ,  13:38 :  No new data found.
2020.03.17. ,  13:39 :  No new data found.
2020.03.17. ,  13:40 :  No new data found.
2020.03.17. ,  13:41 :  No new data found.
2020.03.17. ,  13:42 :  No new data found.
